id_direccion;calle_num;municipio;estado;cp
1;MIRADOR No.120;EL MIRADOR;MEXICO D.F.;4950
2;MOYOBAMBA No. 307 ESQ-MATANSAS;RESIDENCIAL ZACATENGO;MEXICO D.F.;7369
3;CALLE 35 No. 35-A entre 30 y 32;CENTRO;CIUDAD DEL CARMEN;24100
4;C 60 DIAG No. 483 A X 59;"PARQUE IND. YUCAT&Aacute;N";MERIDA;97300
5;CALZ. DE LAS ARMAS No. 697;SAN PEDRO XALPA;AZCAPOTZALCO;2710
6;ARTEMISA No.1283;PARTIDO LA FUENTE;CD JUAREZ;32370
7;BLVD. EVERARDO MARQUEZ No. 413;EX HDA  DE COSCOTITLAN;PACHUCA;42080
8;BLVD. PLAN DE AYALA No. 912;VICENTE GUERRERO;CUERNAVACA;62430
9;AV. TLACOTE No.143;GALINDAS;"QUER&Eacute;TARO";76177
10;VICTORIA No. 58;"CENTRO HIST&Oacute;RICO";MEXICO D.F.;6050
11;AV. FARALLON  No. 600 C Y D;FRACC. FARALLON DEL OBISPO;ACAPULCO;39690
12;25 NORTE No. 210;AMOR;PUEBLA;72140
13;TUCSON No.235;CUMBRES SAN AGUSTIN;MONTERREY;64346
14;AV. TECNOLOGICO No. 108-A;VEINTIUNO DE MARZO;SOLEDAD DE GRACIANO SANCHEZ;78437
15;RUIZ CORTINES 5260-A OTE;ADOLFO PRIETO;GUADALUPE;67120
16;CALLE 15 PONIENTE 1704-B;BARRIO DE SANTIAGO;PUEBLA;72740
17;ESQ DE LOS MARES No. 620,  LOC 5 Y 6 , PLAZA COMERCIAL SOLEIL;"AMPLIACI&Oacute;N LIENZO CHARRO";CABO SAN LUCAS;23410
18;BOULEVARD DOÑA ROSA BODEGA 6;EX HACIENDA DONA ROSA;LERMA, TOLUCA;52000
19;CALLE 28 No. 149 ENTRE 3 Y 5-A;"GARC&Iacute;A GINERES";"M&Eacute;RIDA";97070
20;URUGUAY No. 204;COL LAS AMERICAS;COATZACOALCOS;96480
21;AV JUAREZ Y 6TA;COMERCIAL;SAN LUIS RIO COLORADO;83449
22;AV. DEL CARMEN No. 546;SANTA ANA;TUXTLA GTZ;29090
23;LAGO MURITZ No. 5;"AN&Aacute;HUAC";MEXICO D.F.;11320
24;ESPERANZA No. 1007;NARVARTE;MEXICO D.F.;3020
25;LAS CASAS No. 308;CENTRO;OAXACA;68000
26;AV. GREGORIO MENDEZ No. 802;COL CENTRO;VILLAHERMOSA;8600
27;EJERCITO MEXICANO No. 210;EJIDO 1 DE MAYO;"BOCA DEL R&Iacute;O";94297
28;AV. 8 DE JULIO No. 1150;MODERNA;GUADALAJARA;44100
29;SUR 16 No. 400-E;CENTRO;ORIZABA;94300
30;PASCUARO No.14;SAN JAVIER;TLALNEPANTLA;54030
31;CALLE 34 No.2716;ZONA INDUSTRIAL;GUADALAJARA;44940
32;2DA. PRIV. DE PIRUS No. 119;JALATLACO;OAXACA DE JUAREZ;68080
33;"KM. 38.5 AUTOPISTA MEXICO-QUER&Eacute;TARO";PREDIO LAS ANIMAS;"CUAUTITL&Aacute;N IZCALLI";54730
34;AV. UNIVERSIDAD No. 45;FRACC. MAGALLANES;ACAPULCO;39670
35;"AV. TECNOL&Oacute;GICO No. 1184";FRANCISCO I. MADERO;METEPEC;52172
36;VIA MORELOS No.318;SANTA CLARA CERRO GORDO;ECATEPEC;55540
37;AVENIDA CENTENARIO SIN No. ESQUINA 21 ESTE;CIVAC;JIUTEPEC;72578
38;AV. PODER LEGISLATIVO No 210;LOMAS DE LA SELVA;CUERNAVACA;62270
39;AV. 5 DE FEBRERO No. 1311 BODEGA 1;NUEVO CARRILLO PUERTO;"QUER&Eacute;TARO";76138
40;CALZADA DE TLALPAN No. 5071;LA JOYA;MEXICO D.F.;14090
41;AV. GUSTAVO BAZ No. 262;LA LOMA;TLALNEPANTLA;54080
42;AVENIDA. UNIVERSIDAD SIN No.;SAN CAYETANO;"SAN JUAN DEL R&Iacute;O";76806
43;PASEO DE FRANCIA No. 155 PH;LOMAS VERDES 3ra. SECCION;NAUCALPAN;53125
44;SAN SALVADOR No. 230, ESQ. INDEPENDENCIA;VENUSTIANO CARRANZA;CHETUMAL;77012
45;MORELOS No. 61;CENTRO;XALAPA;91000
46;FRANCISCO SARABIA No 13;JOSE CARDEL;XALAPA;91030
47;AV. XICOTENCATL No. 1639;RICARDO FLORES MAGON;VERACRUZ;91900
48;AV. TECNOLOGICO No. 9900 - B;REVOLUCION;CHIHUAHUA;31107
49;"Juli&Aacute;n Villagr&Aacute;n Norte 1423";INDUSTRIAL;MONTERREY;64440
50;ALDAMA No. 4;SAN MIGUEL AMANTLA;MEXICO D.F.;2700
51;AV. BAJA VELOCIDAD No. 121;LOS PILARES;METEPEC;53240
52;AVENIDA. MEXICO 3370;MONRAZ;GUADALAJARA;44670
53;SANTO DOMINGO No. 83;LA PRECIOSA;AZCAPOTZALCO;2150
54;DIAG. DEFENSORES DE LA REPUBLICA No. 167-B;LAZARO CARDENAS;PUEBLA;72140
55;AV. TLAHUAC 5616;NICOLAS TOLENTINO;MEXICO D.F.;13220
56;FCO. DEL P. Y TRONCOSO 1092;JUVENTINO ROSAS;MEXICO;8700
57;PALENQUE No. 647;COL. CALICHAL;TUXTLA GTZ;29026
58;CENTRO EJECUTIVO No. 5700;COMPLEJO INDUSTRIAL EL SAUCITO;CHIHUAHUA;31125
59;CALLE 17 SUR No. 4717;REFORMA AGUA AZUL;PUEBLA;72430
60;CALLE 20 No. 207;SAN MIGUEL;"M&Eacute;RIDA";97140
61;NORTE 31-A EDIF. 23-B, DEPTO. 403;UNIDAD LINDAVISTA VALLEJO;MEXICO D.F.;7720
62;"CALLE AGUSTIN BELTR&Aacute;N No. 105";COL. ATASTA;VILLAHERMOSA;86100
63;"AV. M&Aacute;RTIRES DEL 28 DE AGOSTO No.264-BIS";FERRER GUARDIA;XALAPA;91020
64;AVENIDA DE LAS FUENTES No. 399-B;LOMAS DE TECAMACHALCO;NAUCALPAN;53950
65;ARBOLADA DE LA HACIENDA No. 148;LAS ARBOLEDAS;ATIZAPAN;52900
66;13 DE SEPTIEMBRE No 12 INT 101;NIÑOS HEROES;"SANTIAGO DE QUER&Eacute;TARO";76010
67;SALVADOR S. COLIN No. 101-2;ALFREDO DEL MAZO;TOLUCA;50190
68;"AV. CHICHEN ITZ&Aacute; No. 131 SM. 63";MANZANA 39 LOTE 19,20 Y22;"CANC&Uacute;N";77513
69;AV. CENTRAL No. 5 MZA. 30 L. 11;ALCE BLANCO;EDO. MEXICO;53370
70;AV. A. RUIZ CORTINEZ No. 1212;FRACC. OROPEZA;VILLAHERMOSA;86030
71;BELISARIO DOMINGUEZ No. 2480;TERAN;TUXTLA GUTIERREZ;29080
72;AV. HIDALGO No. 3006;AGUILA;TAMPICO;89230
73;AV. JUAREZ No. 1006;CENTRO;COATZACOALCOS;96400
74;"Paseo R&Iacute;o Sonora Sur No. 151";"Proyecto R&Iacute;o Sonora";HERMOSILLO;83270
75;"Jos&Eacute; Lopez Portillo No.75";Sierra Vista;HERMOSILLO;83147
76;BLVD. HAROLD R.PAPE No. 1613-A;Santa Monica;MONCLOVA;25720
77;ENRIQUE DIAZ DE LEON No. 976;MODERNA;GUADALAJARA;44190
78;COLON No. 2425 PTE.;TALLERES;MONTERREY;64480
79;BLVD. JUAN JOSE TORRES LANDA No. 1327 PTE.;"SAN SEBASTI&Aacute;N";"LE&Oacute;N";37450
80;AV. LAZARO CARDENAS No. 1335;COL. CUAUHTEMOC;MORELIA;58020
81;BRUCELAS No. 622;MODERNA;GUADALAJARA;44190
82;MARINA NACIONAL No. 4;ZONA INDUSTRIAL;GUADALUPE;98600
83;GARIBALDI No. 1475;COL. VILLASEÑOR;GUADALAJARA;44600
84;AV. 8 DE JULIO No. 1031;COL. MODERNA;GUADALAJARA;44190
85;CALLE JUAN GUTENBERG No. 62 NTE.;CENTRO;"TORRE&Oacute;N";27000
86;AV. MANUEL VALLARTA No. 1153;CENTRO;CULIACAN;80129
87;TABASCO No. 225;SAN BENITO;HERMOSILLO;83190
88;AV. ALEMANIA No. 1255-1257;MODERNA;GUADALAJARA;44190
89;BLVD. BENITO JUAREZ No. 1216;TECNOLOGICO;MONCLOVA;25716
90;5 DE FEBRERO No. 700 - C OTE.;CENTRO;DURANGO;34000
91;COLON No. 843;MODERNA;GUADALAJARA;44190
92;JUAN DE LA CABADA No. 750;MORELOS;COLIMA;28030
93;HIDALGO No. 202;CENTRO;LOS MOCHIS;81200
94;PERIFERICO NORTE No. 23;MODELO;HERMOSILLO;83140
95;BENJAMIN MUÑOZ No. 80;Balderrama;HERMOSILLO;83180
96;AV. ZARAGOZA No. 301;GRANJAS;CHIHUAHUA;31160
97;GUERRERO NO. 224;CENTRO;SALAMANCA;36700
98;AV. FCO. JAVIER MINA No. 194;CENTRO;COLIMA;20800
99;AV. PATRIA No. 2220;LAGOS DEL COUNTRY;ZAPOPAN;45178
100;AV. 8 DE JULIO No. 3610;LOMAS DE POLANCO;GUADALAJARA;4960
101;AV. 8 DE JULIO No. 1146;MODERNA;GUADALAJARA;44190
102;NICOLAS BRAVO No. 395 NORTE;CENTRO;CULIACAN;80201
103;BLVD. ADOLFO LOPEZ MATEOS No. 1115;EL COECILLO;LEON;37260
104;TLAXCALA No. 66;SAN BENITO;HERMOSILLO;83190
105;FRESNO No. 1757;DEL FRESNO;GUADALAJARA;44900
106;AV. LAZARO CARDENAS NO. 1908;CENTRO;LAZARO CARDENAS;60950
107;BLVD. A ZACATECAS NO. 201;INDUSTRIAL;AGUASCALIENTES;20030
108;EJE MANUEL J CLOUTHIER 271;HACIENDA DEL SOL;CELAYA;38013
109;CASIMIRO LICEAGA 414;PROLONGACION LA MODERNA;IRAPUATO;36690
110;BLVD. HIDALGO NO. 506;MICHOACAN;LEON;37240
111;16 DE SEPTIEMBRE No. 1660 PTE;CENTRO;CULIACAN;1129
112;BLVD.JOSE DIEGO VALADEZ RIOS No. 164 PTE PISO 8;DESARROLLO TRES RIOS;CULIACAN;80020
113;AV. CANAL INTERCEPTOR 210 LOCAL 27 Y 28;PALMA REAL;AGUASCALIENTES;20130
114;BLVD. ADOLFO LOPEZ MATEOS NO. 1305 PTE.;RENACIMIENTO;CELAYA;38047
115;BOULEVARD JUAN JOSE TORRES LANDA 720;INDEPENDENCIA;IRAPUATO;36559
116;JOSEFA ORTIZ DE DOMINGUEZ No. 2845;PUEBLO NUEVO;LA PAZ;23060
117;AV. 8 DE JULIO No. 2487;ZONA INDUSTRIAL;GUADALAJARA;44940
118;FRANCISCO J. MUGICA NO. 363;FELICITAS DEL RIO;MORELIA;58030
119;AV. MADERO NO. 309;CENTRO;AGUASCALIENTES;20000
120;AV. MEXICO JAPON NO. 132;CD. INDUSTRIAL;CELAYA;38010
121;MOTOLINIA No. 207;CENTRO;COLIMA;28000
122;AV. 20 DE NOVIEMBRE No. 1603 OTE.;CENTRO;DURANGO;34080
123;AV. DE LA PAZ No. 1193;SAN ANTONIO;GUADALAJARA;44170
124;ZARAGOZA No. 125 ESQUINA CON COLIMA;CENTRO;CD. OBREGON;85000
125;LEONA VICARIO N0. 232;EL ENCINO;AGUASCALIENTES;20240
126;2a. PRIV. DEL BLVD. INDEPENDENCIA No. 33 NTE.;"AMPLIACI&Oacute;N LOS ANGELES";"TORRE&Oacute;N";64260
127;AV. FIDEL VELAZQUEZ No. 1301;CONSTITUYENTES DEL 57;MONTERREY;64260
128;BLVD. HUMBERTO HINOJOSA No. 612;AMPLIACION KIOSKO;SALTILLO;25240
129;FELIPE ZETTER No. 3592;PASEOS DEL SOL;ZAPOPAN;45079
130;BLVD MORELOS No. 267;LOMA LINDA;HERMOSILLO;83150
131;ARCOS 620;LOS ARCOS;AGUASCALIENTES;20140
132;NICOLAS BRAVO No. 403 NORTE;CENTRO;CULIACAN;80000
133;AV. DIVISION DEL NORTE No. 2302 - A;ALTAVISATA;CHIHUAHUA;31320
134;AV. BRAVO OTE. No. 1919, ESQ. ROSENDO GUERRERO;CENTRO;"TORRE&Oacute;N";27000
135;AV. UNIVERSIDAD No. 709;LOS PINOS;TAMPICO;89139
136;AV. SALVADOR NAVA MARTINEZ No. 456;FRACC. NUEVO PASEO;"SAN LUIS POTOS&Iacute;";78328
137;BLVD. JUAN JOSE TORRES LANDA NO. 4302;FRACC. SAN ISIDRO;LEON;37510
138;BLVD. REVOLUCION No. 601 OTE.;CENTRO;"TORRE&Oacute;N";27000
139;AV. 8 DE JULIO No. 3146;LOMAS DE POLANCO;GUADALAJARA;44960
140;IGNACIO ROMERO No. 46;SAN BENITO;HERMOSILLO;83190
141;CALLE 1 No. 1057;ZONA INDUSTRIAL;GUADALAJARA;44940
142;AV. LAZARO CARDENAS NO. 1083-A;CENTRO;MORELIA;58000
143;DONATO GUERRA No. 731;MEXICALZINGO;GUADALAJARA;44180
144;RUIZ CORTINEZ No. 4900;NOMBRE DE DIOS;CHIHUAHUA;31105
145;GENERAL CORONA No. 232;VILLASEÑOR;GUADALAJARA;44600
146;ZUAZUA 3740 NTE;DEL NORTE;MONTERREY;64500
147;REFORMA 940 OTE;CENTRO;MONTERREY;64720
148;AV. FIDEL VELASQUEZ 1301;CONSTITUYENTES DEL 57;MONTERREY;64260
149;ARRAMBERRI 1601 PTE;CENTRO;MONTERREY;64000
150;AV. AÑO DE JUAREZ No. 253;GRANJAS SAN ANTONIO;"M&Eacute;XICO";960
151;NEZAHUALCOYOTL No. 512;"SAN SEBASTI&Aacute;N";TOLUCA;50090
152;VIA GUSTAVO BAZ No. 162-B;"SAN JER&Oacute;NIMO TEPETLALCO";TLALNEPANTLA DE BAZ;54090
153;AV. MADERO 718 PTE;CENTRO;MONTERREY;64000
154;CALLE SUR 23 L-541-C MZ. 52;LEYES DE REFORMA;MEXICO D.F.;9300
155;JACARANDAS No. 5;JARDINES DE ATIZAPAN;ATIZAPAN;52978
156;CRUZ DEL VALLE VERDE No.12;SANTA CRUZ DEL MONTE;NAUCALPAN;53110
157;Cuahutemoc No. 613;CENTRO;MONTERREY;64000
158;CALLE 57 No. 465 POR 54;CENTRO;MERIDA;97000
159;"CALLE 96 No.892 EDIF. ""A"" INT. 101";OBRERA;"M&Eacute;RIDA";97260
160;CALLE 7 No.550 LETRA D;MAYA;"M&Eacute;RIDA";97134
161;CALLE 33-A No. 503-M;"GARC&Iacute;A GINERES";"M&Eacute;RIDA";97070
162;"AV. CUAUHT&Eacute;MOC No. 10 POR R&Iacute;O CANDELARIA";"SANTA LUC&Iacute;A";CAMPECHE;24020
